sensor_index,name,latitude,longitude,pm2.5
262253,Outrider Rd - Rolling Hills CA,33.753582,-118.33334,6.2
262261,B L Zen,34.042206,-118.51095,8.9
262257,Woodbury Preschool Village,34.19129,-118.16494,16.0
262259,PurpleAir91107,34.13899,-118.08087,15.2
262265,Highlands Ranch,37.997772,-121.86233,0.5
262327,Apache Dr.,32.63882,-116.99204,5.3
262331,DHS Bella,33.956993,-116.480484,3.4
262343,SOUTH RIVIERA,34.0346,-118.513794,8.8
275,Pleasanton,37.659355,-121.861336,0.5
262437,Crestwood Hills Preschool,34.076538,-118.48832,12.2
262449,Rivas Canyon/Oracle Pl,34.056217,-118.51816,9.7
262467,29th/Judah Outer Sunset SF,37.761604,-122.48814,3.8
262549,CDPH Richmond,37.920773,-122.343445,4.8
262547,CDPH Richmond,37.92037,-122.34405,3.7
473,Sunnyside 93727,36.724483,-119.701645,1.5
767,Kari's PurpleAir,37.70912,-121.92197,
263027,676 Palisades Drive 90272,34.065613,-118.43338,6.3
1178,CARB_SMOKE_MCAPCD_Don-Pedro-Elem,37.67254,-120.35794,1.7
263365,Public Works,33.956364,-116.83886,2.6
1304,CARB_SMOKE_MARIPOSA_MDO,37.5006,-119.84042,1.5
263461,Golden Hills Education Center,38.274067,-122.00366,0.4
263507,Lexington,34.17588,-118.12388,13.8
263823,Aster Outdoors 8,33.769035,-118.18958,7.1
263819,High Point Academy,34.174774,-118.09221,17.5
1680,BikeSGV - Baldwin Park,34.09655,-117.97032,0.5
263835,Winding Way,34.02893,-118.78334,7.3
263845,Dawes St,37.82373,-122.212204,1.6
263867,N Lake,34.202393,-118.13291,20.0
263883,Wimbledon Ct,38.066692,-122.55556,0.2
263933,East Eaton Wash,34.15054,-118.086,17.6
1808,RUSD_5 (STEM Academy),33.968838,-117.31256,1.6
1848,AQMD_NASA_25,34.141758,-118.060745,0.0
1852,AQMD_NASA_2,34.021534,-117.90991,9.8
264013,Red Willow Farm,38.351143,-122.97861,0.4
1874,Glen Cove Ridge,38.066784,-122.220024,0.2
1914,SCSB_13,33.773087,-118.081055,6.1
1970,AQMD_NASA_14,33.99827,-118.437546,3319.2
264145,All Things Bayview Gilman and Arelious Walker,37.718254,-122.38756,2.0
2006,CARB_SMOKE_SLOAPCD_SANTA_MARG,35.39063,-120.60231,1.5
2010,SLOAPCD_RedHills,35.639256,-120.24316,0.0
2018,SCSB_03,33.762363,-118.09173,10.7
2020,SCSB_07,33.762314,-118.08269,0.0
2063,Kings Mountain SW,37.39356,-122.347206,0.2
264311,107 Sandringham,37.816277,-122.217834,1.6
2169,SCSB_31,33.770245,-118.090096,5.5
264363,Beautiful Roosedena,34.17604,-118.102554,17.7
2303,SCSB_26,33.761993,-118.08767,4.2
2307,SCSB_17,33.76539,-118.0782,9.5
264458,Rubio Canyon,34.20029,-118.123215,21.3
2323,SCSB_14,33.769012,-118.078865,0.1
2336,SCSB_25,33.769814,-118.08469,4.3
264487,AYUNTAMIENTO DE MEXICALI - ESTACION INDEPENDENCIA,32.631924,-115.431946,6.7
264497,AYUNTAMIENTO DE MEXICALI - ESTACION DE BOMBEROS PROGRESO,32.581135,-115.58345,13.6
264505,AYUNTAMIENTO DE MEXICALI - ESTACION DE BOMBEROS SANTA ISABEL,32.62179,-115.57248,57.7
264507,AYUNTAMIENTO DE MEXICALI - ESTACION DE BOMBEROS NO. 24,32.66298,-115.38017,6.1
264517,AYUNTAMIENTO DE MEXICALI - 16 DE SEPTIEMBRE CAMPUS VILLANOVA,32.622307,-115.49484,7.3
264519,AYUNTAMIENTO DE MEXICALI - EMMCA COMANDANCIA ANAHUAC,32.609615,-115.478355,6.2
2372,SCSB_22,33.777668,-118.091995,4.4
264527,AYUNTAMIENTO DE MEXICALI - SECUNDARIA 66,32.571373,-115.350235,0.0
264521,AYUNTAMIENTO DE MEXICALI - DELEGACIÓN LOS ALGODONES,32.716743,-114.72923,5.5
264533,AYUNTAMIENTO DE MEXICALI - 16 DE SEPTIEMBRE CAMPUS MAESTROS FEDERALES,32.61665,-115.44013,33.6
264531,AYUNTAMIENTO DE MEXICALI - ESTACION INDUSTRIAL,32.65674,-115.46162,9.7
