sensor_index,name,latitude,longitude,pm2.5,geometry,msa_id,msa_name,index_right,tract_geoid,CNTY_NAME,ACSTOTPOP,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,LESSHSPCT,LINGISOPCT,PM25
262253,Outrider Rd - Rolling Hills CA,33.753582,-118.33334,6.2,POINT (-118.33334 33.753582),31080,"Los Angeles-Long Beach-Anaheim, CA",890,06037670500,Los Angeles County,1451,0.403170227429359,0.065467625899281,0.057553956834532,0.005524861878453,0.029824561403509,11.867874863388
262261,B L Zen,34.042206,-118.51095,8.9,POINT (-118.51095 34.042206),31080,"Los Angeles-Long Beach-Anaheim, CA",4124,06037262802,Los Angeles County,3512,0.212984054669704,0.132687927107062,0.045604758757436,0.011520737327189,0.0,11.0589453551913
262257,Woodbury Preschool Village,34.19129,-118.16494,16.0,POINT (-118.16494 34.19129),31080,"Los Angeles-Long Beach-Anaheim, CA",2203,06037461000,Los Angeles County,5788,0.866793365583967,0.247277836318932,0.089268132589432,0.194687983496648,0.067226890756303,11.7081609289617
262259,PurpleAir91107,34.13899,-118.08087,15.2,POINT (-118.08087 34.13899),31080,"Los Angeles-Long Beach-Anaheim, CA",2048,06037463103,Los Angeles County,5474,0.742236024844721,0.203567488047076,0.022066936373667,0.159388107574636,0.098867147270855,12.7022180327869
262265,Highlands Ranch,37.997772,-121.86233,0.5,POINT (-121.86233 37.997772),41860,"San Francisco-Oakland-Fremont, CA",3703,06013313106,Contra Costa County,7094,0.635889484071046,0.103428733352224,0.050431621990005,0.124972545574347,0.076056338028169,12.1734420765027
262327,Apache Dr.,32.63882,-116.99204,5.3,POINT (-116.99204 32.63882),41740,"San Diego-Chula Vista-Carlsbad, CA",5767,06073013415,San Diego County,1406,0.804409672830726,0.058321479374111,0.027090694935218,0.040117416829746,0.079295154185022,11.3742603825137
262331,DHS Bella,33.956993,-116.480484,3.4,POINT (-116.480484 33.956993),40140,"Riverside-San Bernardino-Ontario, CA",7693,06065044510,Riverside County,6340,0.756782334384858,0.513961192617132,0.051961112973517,0.222665602553871,0.154787931788369,7.88112363387978
262343,SOUTH RIVIERA,34.0346,-118.513794,8.8,POINT (-118.513794 34.0346),31080,"Los Angeles-Long Beach-Anaheim, CA",4124,06037262802,Los Angeles County,3512,0.212984054669704,0.132687927107062,0.045604758757436,0.011520737327189,0.0,11.0589453551913
275,Pleasanton,37.659355,-121.861336,0.5,POINT (-121.861336 37.659355),41860,"San Francisco-Oakland-Fremont, CA",5974,06001450741,Alameda County,5742,0.549808429118774,0.241170174812701,0.022616562282533,0.07334167709637,0.095723014256619,11.5421382513661
262437,Crestwood Hills Preschool,34.076538,-118.48832,12.2,POINT (-118.48832 34.076538),31080,"Los Angeles-Long Beach-Anaheim, CA",5287,06037262301,Los Angeles County,2806,0.302565930149679,0.153977031050617,0.068416865552904,0.066437571592211,0.021739130434783,10.9447196721311
262449,Rivas Canyon/Oracle Pl,34.056217,-118.51816,9.7,POINT (-118.51816 34.056217),31080,"Los Angeles-Long Beach-Anaheim, CA",2560,06037262501,Los Angeles County,3709,0.126179563224589,0.076715289032955,0.046770601336303,0.0,0.006024096385542,10.9159994535519
262467,29th/Judah Outer Sunset SF,37.761604,-122.48814,3.8,POINT (-122.48814 37.761604),41860,"San Francisco-Oakland-Fremont, CA",8732,06075032700,San Francisco County,6721,0.656747507811338,0.154876580373269,0.048136645962733,0.145840967387321,0.211412151067323,9.64590218579235
262549,CDPH Richmond,37.920773,-122.343445,4.8,POINT (-122.343445 37.920773),41860,"San Francisco-Oakland-Fremont, CA",2800,06013380002,Contra Costa County,3470,0.776945244956772,0.460905349794239,0.092814371257485,0.116834639790967,0.092900302114804,10.8858355191257
262547,CDPH Richmond,37.92037,-122.34405,3.7,POINT (-122.34405 37.92037),41860,"San Francisco-Oakland-Fremont, CA",2800,06013380002,Contra Costa County,3470,0.776945244956772,0.460905349794239,0.092814371257485,0.116834639790967,0.092900302114804,10.8858355191257
