station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
0002,Concord,11.6635234972678,41860,"San Francisco-Oakland-Fremont, CA",06013338201,Contra Costa County,0.327444637969644,0.080571137174911,0.023517382413088
1103,Los Angeles-North Main Street,13.3477,31080,"Los Angeles-Long Beach-Anaheim, CA",06037206010,Los Angeles County,0.886564762670957,0.519442209707696,0.16209371042634
2510,Merced-M St,15.5013396174863,32900,"Merced, CA",06047001302,Merced County,0.842665750601168,0.688912809472551,0.254983388704319
2022,Mission Viejo,11.8307390710383,31080,"Los Angeles-Long Beach-Anaheim, CA",06059032027,Orange County,0.633498913380938,0.194932379916058,0.053763440860215
8001,Rubidoux,13.8225180327869,40140,"Riverside-San Bernardino-Ontario, CA",06065040304,Riverside County,0.900909302867801,0.63265306122449,0.121353558926488
4001,Sacramento Health Department-Stockton Blvd.,14.559100273224,40900,"Sacramento-Roseville-Folsom, CA",06067001702,Sacramento County,0.253566621803499,0.313630229419703,0.0
2002,Fontana,13.697675136612,40140,"Riverside-San Bernardino-Ontario, CA",06071002204,San Bernardino County,0.913665432514305,0.365651438240271,0.102101116217991
8001,Big Bear,7.54979169398907,40140,"Riverside-San Bernardino-Ontario, CA",06071011406,San Bernardino County,0.420398009950249,0.364250177683014,0.098489822718319
0005,Modesto-14th Street,15.0817017213115,33700,"Modesto, CA",06099001800,Stanislaus County,0.594020797227036,0.665213600697472,0.144973544973545
8001,Rubidoux,13.8225180327869,40140,"Riverside-San Bernardino-Ontario, CA",06065040304,Riverside County,0.900909302867801,0.63265306122449,0.121353558926488
1003,Keeler,6.95654139344262,13860,"Bishop, CA",06027000800,Inyo County,0.428711576193591,0.366511318242344,0.02052091554854
0002,Gilroy,9.803886065573773,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085512512,Santa Clara County,0.739634748272458,0.337672481124707,0.100534759358289
2009,Tranquillity,13.5642234426229,23420,"Fresno, CA",06019008200,Fresno County,0.963000336360579,0.651698620921628,0.155685920577617
0003,Merced-Coffee,15.432162295082,32900,"Merced, CA",06047001700,Merced County,0.723864258347017,0.575363113181694,0.038951583545686
0004,Vallejo,11.375743715847,46700,"Vallejo, CA",06095251200,Solano County,0.795162278015922,0.291411042944785,0.053865336658354
8005,Mira Loma (Van Buren),14.3894204918033,40140,"Riverside-San Bernardino-Ontario, CA",06065040403,Riverside County,0.806814063066328,0.139543312794491,0.063165365507452
1016,San Diego - Kearny Villa Rd.,11.8629721311475,41740,"San Diego-Chula Vista-Carlsbad, CA",06073009400,San Diego County,0.575415555099528,0.331225680933852,0.092009685230024
0004,Vallejo,11.375743715847,46700,"Vallejo, CA",06095251200,Solano County,0.795162278015922,0.291411042944785,0.053865336658354
0002,Concord,11.6635234972678,41860,"San Francisco-Oakland-Fremont, CA",06013338201,Contra Costa County,0.327444637969644,0.080571137174911,0.023517382413088
2011,Goleta,7.95333647540984,42200,"Santa Maria-Santa Barbara, CA",06083002914,Santa Barbara County,0.343235389086212,0.122053600258314,0.075155279503106
0002,WMRC/NCORE,11.4054780601093,13860,"Bishop, CA",06027000100,Inyo County,0.484542792059876,0.395045632333768,0.088419405320814
0500,Table Mountain Air Monitoring Site,19.6991996448087,23420,"Fresno, CA",06019006405,Fresno County,0.246339202965709,0.133642261353105,0.028301886792453
1602,Pico Rivera #2,14.4358860655738,31080,"Los Angeles-Long Beach-Anaheim, CA",06037500403,Los Angeles County,0.965970832141836,0.163568773234201,0.03921568627451
