state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name,geometry,msa_id,msa_name,index_right,tract_geoid,CNTY_NAME,ACSTOTPOP,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,LESSHSPCT,LINGISOPCT,PM25
06,013,0002,88101,1,PM2.5 - Local Conditions,1999-01-08,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019-02-23,,,SLAMS,,0086,Bay Area Air Quality Management District,890,37.936013,-122.026154,WGS84,13.0,26.0,5.9,TOP OF BUILDING,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,41860,"San Francisco-Oakland-Hayward, CA",488,"San Jose-San Francisco-Oakland, CA",,,POINT (-122.026154 37.936013),41860,"San Francisco-Oakland-Fremont, CA",9057,06013338201,Contra Costa County,4019,0.327444637969644,0.080571137174911,0.023517382413088,0.028093434343434,0.083440308087291,11.6635234972678
06,037,1103,88101,2,PM2.5 - Local Conditions,1999-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016-12-16,,,SLAMS,,0972,South Coast Air Quality Management District,1081,34.06659,-118.22688,WGS84,0.0,87.0,,,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-118.22688 34.06659),31080,"Los Angeles-Long Beach-Anaheim, CA",5,06037206010,Los Angeles County,3729,0.886564762670957,0.519442209707696,0.16209371042634,0.360350492880613,0.270557029177719,13.3477
06,047,2510,88101,1,PM2.5 - Local Conditions,1999-04-01,2020-12-31,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014-12-11,,,,,0145,California Air Resources Board,1158,37.30832,-120.480456,NAD83,1.52,58.0,8.7,,Merced-M St,"2334 'M' ST. MERCED, CA",California,Merced,Merced,32900,"Merced, CA",382,"Modesto-Merced, CA",,,POINT (-120.480456 37.30832),32900,"Merced, CA",5416,06047001302,Merced County,2911,0.842665750601168,0.688912809472551,0.254983388704319,0.281705342687534,0.001851851851852,15.5013396174863
06,059,2022,88101,1,PM2.5 - Local Conditions,1999-06-15,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2026-01-01,Y,Y,SLAMS,,0972,South Coast Air Quality Management District,1212,33.63003,-117.67593,WGS84,10930.56,161.0,4.0,,Mission Viejo,"26081 VIA PERA, MISSION VIEJO, CA 92691",California,Orange,Mission Viejo,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-117.67593 33.63003),31080,"Los Angeles-Long Beach-Anaheim, CA",3368,06059032027,Orange County,6442,0.633498913380938,0.194932379916058,0.053763440860215,0.102040816326531,0.077565046637212,11.8307390710383
06,065,8001,88101,1,PM2.5 - Local Conditions,1999-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015-04-16,Y,Y,SLAMS,NCORE,0972,South Coast Air Quality Management District,1262,33.99958,-117.41601,WGS84,0.0,250.0,,,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-117.41601 33.99958),40140,"Riverside-San Bernardino-Ontario, CA",4273,06065040304,Riverside County,4289,0.900909302867801,0.63265306122449,0.121353558926488,0.375836284927194,0.131359851988899,13.8225180327869
06,067,4001,88101,1,PM2.5 - Local Conditions,1999-02-02,2016-11-16,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2007-05-19,,,,,0145,California Air Resources Board,1280,38.556326,-121.458499,WGS84,0.0,8.0,5.1,,Sacramento Health Department-Stockton Blvd.,"HLTH CTR-2221 STOCKTON BLVD, SACRAMENTO",California,Sacramento,Sacramento,40900,"Sacramento--Roseville--Arden-Arcade, CA",472,"Sacramento-Roseville, CA",,,POINT (-121.458499 38.556326),40900,"Sacramento-Roseville-Folsom, CA",217,06067001702,Sacramento County,3715,0.253566621803499,0.313630229419703,0.0,0.073511166253102,0.167300380228137,14.559100273224
06,071,2002,88101,1,PM2.5 - Local Conditions,1999-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2018-11-30,Y,,SLAMS,,0972,South Coast Air Quality Management District,1321,34.10002,-117.49201,WGS84,0.0,381.0,,,Fontana,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-117.49201 34.10002),40140,"Riverside-San Bernardino-Ontario, CA",3389,06071002204,San Bernardino County,5942,0.913665432514305,0.365651438240271,0.102101116217991,0.287639804989963,0.116576819407008,13.697675136612
06,071,8001,88101,1,PM2.5 - Local Conditions,1999-02-08,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2016-02-26,,,SLAMS,,0972,South Coast Air Quality Management District,1335,34.26464,-116.86147,NAD83,3.04,2056.0,,,Big Bear,"501 W. VALLEY BLVD., BIG BEAR CITY,",California,San Bernardino,Big Bear City,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-116.86147 34.26464),40140,"Riverside-San Bernardino-Ontario, CA",8081,06071011406,San Bernardino County,2814,0.420398009950249,0.364250177683014,0.098489822718319,0.140546006066734,0.019730941704036,7.54979169398907
06,099,0005,88101,1,PM2.5 - Local Conditions,1999-01-03,2020-12-07,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2013-04-10,,,,,0145,California Air Resources Board,1556,37.642165,-120.994212,NAD83,0.0,27.0,5.5,,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,33700,"Modesto, CA",382,"Modesto-Merced, CA",,,POINT (-120.994212 37.642165),33700,"Modesto, CA",4340,06099001800,Stanislaus County,2308,0.594020797227036,0.665213600697472,0.144973544973545,0.263888888888889,0.124007936507937,15.0817017213115
06,065,8001,88101,3,PM2.5 - Local Conditions,2008-01-01,,All (2008-01-01 - 2008-07-31),,,,OTHER,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2008-01-01,,,SLAMS,,0972,South Coast Air Quality Management District,1262,33.99958,-117.41601,WGS84,0.0,250.0,,,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-117.41601 33.99958),40140,"Riverside-San Bernardino-Ontario, CA",4273,06065040304,Riverside County,4289,0.900909302867801,0.63265306122449,0.121353558926488,0.375836284927194,0.131359851988899,13.8225180327869
06,027,1003,88101,3,PM2.5 - Local Conditions,2009-09-10,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,181,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,2009-09-10,Y,Y,SLAMS,,0458,Great Basin Unified APCD,996,36.487823,-117.871036,WGS84,1.0,1097.0,2.0,TOP OF BUILDING,Keeler,"KEELER, 190 Cerro Gordo Road",California,Inyo,Keeler,13860,"Bishop, CA",,,,,POINT (-117.871036 36.487823),13860,"Bishop, CA",5934,06027000800,Inyo County,3058,0.428711576193591,0.366511318242344,0.02052091554854,0.07157217531162,0.025819958129798,6.95654139344262
