station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
262253,Outrider Rd - Rolling Hills CA,6.2,31080,"Los Angeles-Long Beach-Anaheim, CA",06037670500,Los Angeles County,0.403170227429359,0.065467625899281,0.057553956834532
262261,B L Zen,8.9,31080,"Los Angeles-Long Beach-Anaheim, CA",06037262802,Los Angeles County,0.212984054669704,0.132687927107062,0.045604758757436
262257,Woodbury Preschool Village,16.0,31080,"Los Angeles-Long Beach-Anaheim, CA",06037461000,Los Angeles County,0.866793365583967,0.247277836318932,0.089268132589432
262259,PurpleAir91107,15.2,31080,"Los Angeles-Long Beach-Anaheim, CA",06037463103,Los Angeles County,0.742236024844721,0.203567488047076,0.022066936373667
262265,Highlands Ranch,0.5,41860,"San Francisco-Oakland-Fremont, CA",06013313106,Contra Costa County,0.635889484071046,0.103428733352224,0.050431621990005
262327,Apache Dr.,5.3,41740,"San Diego-Chula Vista-Carlsbad, CA",06073013415,San Diego County,0.804409672830726,0.058321479374111,0.027090694935218
262331,DHS Bella,3.4,40140,"Riverside-San Bernardino-Ontario, CA",06065044510,Riverside County,0.756782334384858,0.513961192617132,0.051961112973517
262343,SOUTH RIVIERA,8.8,31080,"Los Angeles-Long Beach-Anaheim, CA",06037262802,Los Angeles County,0.212984054669704,0.132687927107062,0.045604758757436
275,Pleasanton,0.5,41860,"San Francisco-Oakland-Fremont, CA",06001450741,Alameda County,0.549808429118774,0.241170174812701,0.022616562282533
262437,Crestwood Hills Preschool,12.2,31080,"Los Angeles-Long Beach-Anaheim, CA",06037262301,Los Angeles County,0.302565930149679,0.153977031050617,0.068416865552904
262449,Rivas Canyon/Oracle Pl,9.7,31080,"Los Angeles-Long Beach-Anaheim, CA",06037262501,Los Angeles County,0.126179563224589,0.076715289032955,0.046770601336303
262467,29th/Judah Outer Sunset SF,3.8,41860,"San Francisco-Oakland-Fremont, CA",06075032700,San Francisco County,0.656747507811338,0.154876580373269,0.048136645962733
262549,CDPH Richmond,4.8,41860,"San Francisco-Oakland-Fremont, CA",06013380002,Contra Costa County,0.776945244956772,0.460905349794239,0.092814371257485
262547,CDPH Richmond,3.7,41860,"San Francisco-Oakland-Fremont, CA",06013380002,Contra Costa County,0.776945244956772,0.460905349794239,0.092814371257485
473,Sunnyside 93727,1.5,23420,"Fresno, CA",06019001409,Fresno County,0.684541420118343,0.299850634802091,0.051282051282051
263027,676 Palisades Drive 90272,6.3,31080,"Los Angeles-Long Beach-Anaheim, CA",06037265201,Los Angeles County,0.333078393881453,0.159146045608928,0.118234804329725
263365,Public Works,2.6,40140,"Riverside-San Bernardino-Ontario, CA",06065043813,Riverside County,0.626663319106201,0.287440221495092,0.030898876404494
263461,Golden Hills Education Center,0.4,46700,"Vallejo, CA",06095252317,Solano County,0.767829929899421,0.212924221292422,0.039677804295943
